id,left,top,right,bottom,_mean,Chlorideme,Fluorideme,Hardnessme,SARmean,Sulfatemea,TDSmean,WellDepthm,Joined lay,LR_prob_Y,NBC_prob_Y,LR_pred_Y,label_NBCpred
128,-119933.9666,979255.5926,-115105.9346,974427.5606,84.73866764,84.73866764,1.498007591,85.59023186,34.61892568,244.9813205,928.9672177,511.18797,1,,,,
129,-119933.9666,974427.5606,-115105.9346,969599.5286,85.92934798,85.92934798,1.50187487,85.53819123,34.50568562,243.9836656,927.4941176,518.8650693,1,,,,
130,-119933.9666,969599.5286,-115105.9346,964771.4966,86.36867631,86.36867631,1.499140069,85.63396512,34.34474935,242.1668549,923.4815921,524.1153848,1,,,,
131,-119933.9666,964771.4966,-115105.9346,959943.4646,86.71554838,86.71554838,1.4982269,85.50816313,34.27682763,240.9544375,921.1523213,528.12434,1,,,,
132,-115105.9346,1119268.521,-110277.9026,1114440.489,68.18390961,68.18390961,1.152385685,92.33329562,21.50489577,128.2206047,616.0312812,289.4900195,1,,,,
133,-115105.9346,1114440.489,-110277.9026,1109612.457,68.81055369,68.81055369,1.142560383,95.58429212,21.09267393,128.7083235,614.7280488,282.5573729,0,,,,
134,-115105.9346,1104784.425,-110277.9026,1099956.393,52.26204257,52.26204257,0.705238041,107.3518978,11.83564377,92.07526856,432.1985525,200.5795383,1,,,,
135,-115105.9346,1099956.393,-110277.9026,1095128.361,57.99562871,57.99562871,0.666764957,201.1952825,9.218763269,113.8530282,495.503675,156.0090167,1,0.000104881,0.001140597,0,0
136,-115105.9346,1095128.361,-110277.9026,1090300.329,54.62426835,54.62426835,0.753007656,119.5465411,28.11516751,130.0177938,600.9413791,390.4508204,1,0.207234517,0.228999042,0,0
137,-115105.9346,1090300.329,-110277.9026,1085472.297,96.19400618,96.19400618,0.720496476,201.5014393,14.03554512,185.3923306,718.4556531,200.1951796,0,,,,
