,Unnamed: 0,StateWellNumber,StateWel_1,LatitudeDD,Dlat,Mlat,Slat,LongitudeD,Dlong,Mlong,Slong,TDS_mg/L,WellDepth,SAR,Hardness_mg/L,Calcium_mg/L,Magnesium_mg/L,Sulfate_mg/L,Chloride_mg/L,Fluoride_mg/L,pH,Texture_SSURGO,Texture_Num,Clay_SSURGO,SAR_SSURGO,EC_SSURGO,label,ppt
186,186,3247504,3247504,32.320833,32,19,15.0,-97.205834,97,12,21.0,374.0,187,4.27,101.0,26.0,8.8,62.0,25.0,0.7,7.2,Silty clay,2,50.0,7,0.800000012,0,980.6403809
187,187,3247601,3247601,32.321944,32,19,19.0,-97.155001,97,9,18.0,561.0,310,19.56,21.0,5.2,2.0,109.0,31.0,1.4,7.6,Silty clay,2,50.0,7,0.800000012,0,976.8965454
188,188,3247801,3247801,32.2688417,32,16,7.83,-97.1815667,97,10,53.64,940.75,210,4.3125,456.0,128.5,33.0,415.25,60.25,0.675,7.425,Silty clay,2,50.0,7,0.800000012,0,990.5268555
189,189,3247803,3247803,32.2708333,32,16,15.0,-97.1813889,97,10,53.0,698.0,214,3.69,264.0,63.0,26.0,249.0,57.0,0.6,7.2,Silty clay,2,50.0,7,0.800000012,0,990.5268555
190,190,3247804,3247804,32.272222,32,16,20.0,-97.167222,97,10,2.0,1233.0,237,46.82,17.0,4.4,1.6,415.0,71.0,3.0,7.4,Silty clay,2,50.0,7,0.800000012,1,983.0186768
191,191,3247805,3247805,32.2692639,32,16,9.35,-97.18165,97,10,53.94,1301.555556,273,2.728888889,768.2222222,88.4,25.52,294.4,55.4,0.448888889,7.23,Silty clay,2,50.0,7,0.800000012,0,990.5268555
192,192,3247806,3247806,32.27225,32,16,20.1,-97.1817694,97,10,54.37,585.0,224,6.505,156.0,14.0,6.0,120.0,36.0,0.5,8.0,Silty clay,2,50.0,7,0.800000012,0,983.0186768
193,193,3248101,3248101,32.371111,32,22,16.0,-97.112223,97,6,44.0,683.0,225,12.14,63.0,19.0,4.0,231.0,23.0,0.8,7.6,Silty clay,2,50.0,7,0.800000012,0,964.0863037
194,194,3319701,3319701,32.646945,32,38,49.0,-96.718055,96,43,5.0,1433.0,1130,61.8925,13.0,3.55,1.0625,493.5,113.75,2.125,8.225,Silty clay,2,47.5,0,0.800000012,1,1012.101196
195,195,3325201,3325201,32.589445,32,35,22.0,-96.956945,96,57,25.0,837.4615385,892,40.45307692,11.92307692,3.261538462,0.953846154,268.3846154,24.61538462,0.930769231,8.483333333,Silty clay,2,47.5,0,0.800000012,0,1013.154663
196,196,3325203,3325203,32.588334,32,35,18.0,-96.956667,96,57,24.0,834.5555556,895,42.82,10.66666667,2.986666667,1.04,249.5333333,33.46666667,0.937777778,8.604117647,Silty clay,2,47.5,0,0.800000012,0,1013.154663
197,197,1833904,1833904,33.383889,33,23,2.0,-96.904723,96,54,17.0,1133.0,204,37.66,22.0,4.0,3.0,384.0,23.0,2.0,8.3,Clay,1,50.0,1,0.600000024,1,1036.755981
198,198,1849805,1849805,33.158334,33,9,30.0,-96.925278,96,55,31.0,1064.0,150,57.67,9.0,2.0,1.0,265.0,97.0,0.9,8.5,Clay,1,50.0,1,0.600000024,0,991.3787842
199,199,1849807,1849807,33.1425,33,8,33.0,-96.944445,96,56,40.0,536.5,402,36.55,6.0,1.0,1.0,54.5,23.0,1.6,8.75,Silty clay,2,38.0,0,0.5,0,980.5760498
200,200,1956602,1956602,33.1830556,33,10,59.0,-97.0377778,97,2,16.0,373.0,60,0.77,274.0,90.0,12.0,36.5,17.4,0.295,7.265,Silty clay,2,38.0,0,0.5,0,984.37146
201,201,3325104,3325104,32.614167,32,36,51.0,-96.961667,96,57,42.0,703.0,801,59.38,4.0,1.133333333,0.39,176.0,18.66666667,0.766666667,8.6,Loam,4,30.0,0,0.5,0,1013.742676
202,202,3319501,3319501,32.668055,32,40,5.0,-96.703612,96,42,13.0,1460.0,1044,61.41,14.0,4.0,1.0,492.0,128.0,2.7,8.4,Sandy clay loam,9,26.0,0,0.5,1,1012.101196
203,203,1837604,1837604,33.4308333,33,25,51.0,-96.3769444,96,22,37.0,819.0,1748,29.3,21.0,7.2,0.8,186.2,73.0,1.2,8.0,Silty clay loam,7,45.0,0,0.0,0,1087.575073
204,204,3232902,3232902,32.520278,32,31,13.0,-97.03,97,1,48.0,839.0,530,54.08,6.0,1.8,0.4,292.0,19.0,0.7,7.6,Clay,1,45.0,0,0.0,0,988.4133911
205,205,3240305,3240305,32.481944,32,28,55.0,-97.026667,97,1,36.0,857.0,543,37.005,13.0,3.3,1.35,304.5,22.5,0.75,8.35,Clay,1,45.0,0,0.0,0,988.4133911
206,206,3240307,3240307,32.464167,32,27,51.0,-97.016944,97,1,1.0,568.0,650,30.96,9.0,2.8,0.5,142.0,20.0,0.5,8.1,Clay,1,45.0,0,0.0,0,999.3768921
207,207,3240607,3240607,32.456667,32,27,24.0,-97.026389,97,1,35.0,575.0,659,22.98,15.0,4.4,1.1,142.0,22.0,0.5,8.3,Clay,1,45.0,0,0.0,0,981.1288452
208,208,3357205,3357205,32.085278,32,5,7.0,-96.934722,96,56,5.0,904.0,822,56.75,7.0,1.5,0.9,151.0,48.0,1.4,8.2,Silty clay loam,7,40.0,0,0.0,0,1000.912903
209,209,1823601,1823601,33.6927778,33,41,34.0,-96.1502778,96,9,1.0,849.2222222,1087,65.76888889,4.555555556,1.466666667,0.456666667,152.6666667,88.0,1.4,8.457777778,Silty clay,2,40.0,0,0.0,0,1143.134522
210,210,1725301,1725301,33.599445,33,35,58.0,-95.905834,95,54,21.0,951.7142857,1673,36.61428571,23.42857143,4.871428571,2.871428571,222.2857143,84.42857143,1.516666667,8.471428571,Silty clay loam,7,37.5,0,0.0,0,1152.795044
211,211,1725302,1725302,33.6,33,36,0.0,-95.9063889,95,54,23.0,946.5555556,1660,38.551,22.9,5.42,2.393,223.4,97.2,1.67,8.38,Silty clay loam,7,37.5,0,0.0,0,1152.795044
